Product,Type,Release Date,Transistors (million)
Intel Xeon Phi 7295,CPU,2017-12-01,8000
AMD Athlon II X3 440,CPU,2010-01-25,300
AMD Phenom II X6 1055T (125W),CPU,2010-04-27,904
Intel Core i7-9750H,CPU,2019-04-23,
AMD Ryzen 3 PRO 1300,CPU,2017-06-29,4800
Intel Core i5-3470S,CPU,2012-06-01,
AMD Sempron 3100+,CPU,2005-01-01,63
Intel Xeon 5148,CPU,2006-06-26,
AMD Athlon XP-M 3000+,CPU,2001-01-01,63
Intel Core i5-7640X,CPU,2017-06-26,
AMD Sempron 2600+,CPU,2001-01-01,63
AMD FX-8320E,CPU,2014-09-02,1200
AMD Athlon X2 5050e,CPU,2008-10-21,154
AMD Ryzen 5 PRO 2500U,CPU,2019-01-08,
Intel Core i5-4690K,CPU,2014-06-02,1400
Intel Core i7-4850EQ,CPU,2013-08-29,1400
AMD EPYC 7301,CPU,2017-06-29,4800
AMD EPYC 7551,CPU,2017-06-29,4800
Intel Core i5-4440,CPU,2013-09-01,1400
Intel Pentium G3460,CPU,2014-07-21,1400
Intel Celeron G5900,CPU,2020-04-30,
AMD Athlon 1300,CPU,2001-03-21,37
Intel Xeon Phi 7210F,CPU,2016-06-20,8000
Intel Core 2 Duo U7700,CPU,2007-12-27,293
Intel Xeon E7-8860,CPU,2011-04-03,2600
AMD Opteron 2350 HE,CPU,2008-10-01,463
Intel Xeon 3.06,CPU,2003-03-10,55
Intel Core i5-3610ME,CPU,2012-06-01,
AMD Athlon 64 1500+,CPU,2005-11-07,69
AMD Sempron 3100+,CPU,2005-04-01,63
AMD Sempron 3400+,CPU,2006-05-23,81
AMD Mobile Athlon 64 3200+,CPU,2003-08-01,106
AMD Athlon 3000G,CPU,2019-11-20,4800
Intel Xeon X5687,CPU,2011-02-14,1170
AMD Phenom X3 8850,CPU,2008-10-21,450
AMD Sempron 2200+,CPU,2004-08-01,37
Intel Pentium 4 1.9,CPU,2001-08-27,42
AMD Phenom X4 9600B,CPU,2008-04-28,450
AMD Opteron 842,CPU,2004-12-01,106
AMD Athlon XP 1800+,CPU,2002-06-10,37
Intel Xeon Platinum 8180M,CPU,2017-07-11,8000
Intel Core i3-2100T,CPU,2011-02-20,504
AMD Sempron 2600+,CPU,2004-07-28,63
AMD Athlon XP 2500+,CPU,2003-02-10,63
Intel Pentium III  933,CPU,2001-06-01,44
Intel Pentium P6100,CPU,2010-09-26,384
Intel Core 2 Duo U7700,CPU,2008-02-27,293
Intel Celeron G1101,CPU,2010-01-07,382
Intel Pentium M 760,CPU,2005-01-19,140
AMD Opteron 3350 HE,CPU,2012-12-04,1200
AMD Athlon 64 3200+,CPU,2005-04-04,69
Intel Xeon MP 7030 Dual-Core,CPU,2005-12-01,200
AMD A8-5557M,CPU,2013-06-01,1178
Intel Celeron 857,CPU,2011-07-01,504
AMD Ryzen 3 5300G,CPU,2021-04-13,
Intel Pentium 4-M 2.50,CPU,2003-04-16,55
Intel Core i3-10325,CPU,2021-03-16,
AMD EPYC 7542,CPU,2019-08-07,3800
AMD Athlon 64 3000+,CPU,2006-05-23,154
AMD E2-2000,CPU,2013-01-06,
Intel Pentium 4-M 1.90,CPU,2002-06-24,55
AMD Athlon 64 X2 3600+,CPU,2006-12-05,154
AMD EPYC 7402P,CPU,2019-08-07,3800
Intel Core i7-880,CPU,2010-05-30,774
Intel Pentium 4 HT 561,CPU,2005-06-12,125
Intel Pentium 4 HT 661,CPU,2006-01-05,188
Intel Pentium Dual-Core T4500,CPU,2010-01-01,410
Intel Core i5-655K,CPU,2010-05-30,382
AMD Opteron 144,CPU,2003-06-30,106
Intel Pentium 4 HT 2.8E,CPU,2004-02-01,125
Intel Core i7-11700,CPU,2021-03-16,
Intel Xeon Platinum 9221,CPU,2019-04-02,8000
AMD EPYC 7H12,CPU,2019-09-18,3800
Intel Core i5-9400F,CPU,2019-01-08,
AMD Phenom II X2 B55,CPU,2009-10-01,758
AMD Athlon 64 LE-1600,CPU,2007-10-08,154
Intel Core i7-7820X,CPU,2017-06-26,
AMD Opteron 148,CPU,2003-11-17,106
Intel Core i3-2328M,CPU,2012-09-01,624
Intel Core i5-4690,CPU,2014-05-01,1400
Intel Core i9-10940X,CPU,2019-10-19,
AMD Athlon II X3 450,CPU,2010-09-21,300
Intel Xeon E3-1235,CPU,2011-04-03,1160
AMD Athlon 64 FX-76,CPU,2006-11-01,227
Intel Xeon E5-2670 v2,CPU,2013-09-01,1400
Intel Atom E640,CPU,2010-09-14,47
AMD Athlon 950,CPU,2000-06-05,37
AMD Athlon X2 7850 BE,CPU,2009-04-28,450
Intel Core 2 Extreme QX9300,CPU,2008-08-01,
AMD Sempron 2600+,CPU,2004-08-01,63
Intel Xeon Phi 3110X,CPU,2012-11-12,5000
AMD EPYC 7702,CPU,2019-08-07,3800
Intel Celeron G1620,CPU,2012-12-03,
Intel Core 2 Duo E8400,CPU,2008-01-01,410
Intel Xeon L5506,CPU,2009-03-30,731
AMD Athlon 64 3500+,CPU,2004-06-01,106
Intel Xeon Phi 5110P,CPU,2012-11-12,5000
Intel Core i3-4330T,CPU,2013-09-01,1400
AMD Ryzen 5 5600X,CPU,2020-11-05,
Intel Xeon Gold 5315Y,CPU,2021-04-06,
AMD FX-8100,CPU,2011-10-12,1200
AMD Ryzen Threadripper 1940,CPU,2017-07-29,9600
Intel Xeon Phi 7120D,CPU,2014-03-01,5000
AMD Sempron 2800+,CPU,2004-07-28,63
AMD Mobile Athlon 64 2800+,CPU,2003-08-01,106
AMD E1-1200,CPU,2012-06-06,
Intel Core i3-2340UE,CPU,2011-06-01,624
Intel Core i3-1005G1,CPU,2019-08-01,
AMD Mobile Athlon 64 3000+,CPU,2003-08-01,106
Intel Xeon Platinum 8270,CPU,2018-12-11,8000
AMD Sempron 3000+,CPU,2005-07-15,69
Intel Atom Z560,CPU,2010-06-01,47
Intel Pentium G840,CPU,2011-05-22,504
AMD Phenom II X4 820,CPU,2009-09-01,758
AMD Opteron 43CX EE,CPU,2012-12-04,1200
AMD Ryzen 5 PRO 2400G,CPU,2018-05-10,4950
Intel Celeron G530,CPU,2011-09-04,504
AMD Ryzen 5 PRO 1500,CPU,2017-06-29,4800
AMD Phenom II X4 840T,CPU,2010-09-01,904
Intel Core i7-11700K,CPU,2021-03-16,
Intel Pentium E5200,CPU,2008-08-31,228
AMD Athlon 64 3600+,CPU,2004-06-01,106
AMD Phenom X4 9100e,CPU,2008-03-27,450
Intel Pentium M 770,CPU,2005-01-19,140
Intel Core 2 Quad Q8200,CPU,2008-08-31,456
Intel Celeron G4920,CPU,2018-04-03,
AMD Athlon 1333,CPU,2001-03-21,37
AMD Athlon 64 3200+,CPU,2004-10-14,69
AMD Turion X2 RM-77,CPU,2008-12-01,
AMD Phenom II X4 910e,CPU,2010-01-25,758
Intel Atom D425,CPU,2010-06-21,123
AMD EPYC 7543P,CPU,2021-03-15,
Intel Core i3-8120,CPU,2018-09-01,
Intel Core Duo T2400,CPU,2006-01-05,151
Intel Pentium 4-M 1.50,CPU,2002-04-23,55
Intel Xeon MP 3.66,CPU,2005-03-29,
Intel Xeon 2.66,CPU,2002-11-18,55
Intel Celeron D 326,CPU,2004-09-22,125
Intel Pentium Dual-Core E2180,CPU,2007-08-26,105
AMD Sempron 3000+,CPU,2004-07-28,63
AMD A8-3510MX,CPU,2011-06-14,1178
Intel Xeon Platinum 8380H,CPU,2021-04-06,
Intel Xeon Phi SE10X,CPU,2012-11-12,5000
AMD Phenom II X3 740 BE,CPU,2009-09-01,758
AMD Athlon Gold PRO 3150G,CPU,2020-07-21,
AMD Opteron 252,CPU,2005-02-14,106
Intel Core i5-6400,CPU,2015-07-02,
Intel Atom Z550,CPU,2009-04-08,47
AMD Athlon II X4 620,CPU,2009-09-16,300
AMD Ryzen Threadripper 1950X,CPU,2017-08-10,9600
Intel Xeon E5-2420 v2,CPU,2013-09-01,1400
AMD A6-5350M,CPU,2013-06-01,1178
AMD Phenom X4 9550,CPU,2008-03-27,450
Intel Core 2 Duo E7200,CPU,2008-04-20,228
Intel Xeon Platinum 8368Q,CPU,2021-04-06,
Intel Core Duo ULV L2500,CPU,2006-06-28,151
Intel Mobile Pentium 4 HT 552,CPU,2005-01-04,125
Intel Xeon Platinum 8360H,CPU,2021-04-06,
Intel Xeon E5-4610,CPU,2012-05-14,2270
Intel Celeron E3500,CPU,2010-08-29,228
Intel Core i7-3517U,CPU,2012-06-03,
Intel Xeon E3-1220L,CPU,2011-04-03,504
AMD Opteron X2150,CPU,2013-05-29,
Intel Core i3-3225,CPU,2012-09-03,
AMD Phenom II X2 565 BE,CPU,2010-12-07,758
Intel Core i3-2105,CPU,2011-05-22,
AMD Turion 64 ML-34,CPU,2005-03-10,114
Intel Core Duo LV L2400,CPU,2006-01-05,151
Intel Core i7-1068G7,CPU,2019-08-01,
Intel Xeon Gold 6334,CPU,2021-04-06,
Intel Celeron D 341,CPU,2004-09-22,125
AMD E2-1800,CPU,2012-06-06,
Intel Pentium 4 1.4,CPU,2001-08-27,42
Intel Pentium G860,CPU,2011-09-04,504
Intel Xeon 3.0,CPU,2004-06-28,155
AMD Athlon 64 3700+,CPU,2004-06-01,105
AMD E2-3000,CPU,2013-05-23,1178
AMD Athlon 64 3100+,CPU,2008-04-21,122
Intel Core i5-11600T,CPU,2021-03-16,
Intel Celeron 787,CPU,2011-07-01,504
AMD Athlon XP 2600+,CPU,2001-01-01,63
Intel Xeon E3-1270 v2,CPU,2012-05-14,1400
Intel Core i5-10600,CPU,2020-04-30,
AMD EPYC 74F3,CPU,2021-03-15,
Intel Core i9-7960X,CPU,2017-09-01,
AMD Athlon XP 1700+,CPU,2001-01-01,37
AMD Ryzen 9 3900X,CPU,2019-07-07,3800
AMD Opteron 150,CPU,2004-05-18,106
AMD Ryzen 3 4300GE,CPU,2020-07-21,
Intel Pentium 4 HT 571,CPU,2005-06-12,125
Intel Core 2 Quad Q9450,CPU,2008-03-25,820
Intel Xeon E3-1245 v2,CPU,2012-05-14,1400
AMD FX-9370,CPU,2013-07-06,1200
Intel Pentium 4 HT 560,CPU,2004-06-21,125
Intel Core i5-10400,CPU,2020-04-30,
AMD Athlon 64 3400+,CPU,2001-01-01,69
Intel Xeon 3.2,CPU,2004-06-28,155
Intel Pentium 4 HT 651,CPU,2006-01-05,188
AMD Athlon XP 2000+,CPU,2003-09-01,63
AMD E-350,CPU,2011-01-04,
Intel Atom E680T,CPU,2010-09-14,47
AMD Athlon II X2 250u,CPU,2009-10-20,410
Intel Pentium 4 505J,CPU,2004-12-01,125
Intel Xeon Platinum 8376HL,CPU,2021-04-06,
Intel Pentium 4 511,CPU,2005-01-01,125
Intel Xeon W-2195,CPU,2017-09-29,
Intel Xeon Phi 7250F,CPU,2016-06-20,8000
AMD Ryzen Threadripper 1940X,CPU,2017-07-29,9600
Intel Xeon E3-1240,CPU,2011-04-03,1160
Intel Core i7-1060G7,CPU,2019-08-01,
Intel Pentium M 1.40,CPU,2003-03-12,77
Intel Xeon E5630,CPU,2010-03-16,1170
Intel Core i3-7120T,CPU,2017-07-17,
Intel Core i5-2557M,CPU,2011-06-01,624
Intel Core i5-4200Y,CPU,2013-06-04,1400
Intel Celeron G550T,CPU,2011-09-04,504
AMD A4-6300,CPU,2013-06-01,1178
AMD A10-9700,CPU,2017-07-27,1178
AMD Turion 64 MT-32,CPU,2005-03-10,114
Intel Core i3-8300T,CPU,2018-04-02,
AMD Athlon 64 3800+,CPU,2007-02-20,122
Intel Celeron G1630,CPU,2013-09-01,
AMD Turion X2 Ultra ZM-82,CPU,2008-06-01,
Intel Core i7-2675QM,CPU,2011-10-12,1160
AMD Opteron 140,CPU,2003-09-09,106
AMD EPYC 7552,CPU,2019-08-07,3800
Intel Core i3-9300,CPU,2019-04-23,
Intel Pentium 4 HT 520,CPU,2004-06-21,125
AMD Athlon 64 3500+,CPU,2004-10-14,69
AMD Mobile Athlon 64 3000+,CPU,2004-08-01,106
Intel Core 2 Duo U7500,CPU,2008-02-27,293
AMD Phenom X4 9850 (95W),CPU,2008-10-01,450
Intel Pentium 4-M 1.70,CPU,2002-03-04,55
AMD Sempron 3200+ EE SFF,CPU,2006-05-23,81
Intel Core i3-2357M,CPU,2011-06-01,624
AMD Athlon II X2 270,CPU,2011-07-01,410
Intel Atom D525,CPU,2010-06-21,176
AMD EPYC 7702P,CPU,2019-08-07,3800
Intel Pentium G3220T,CPU,2013-09-01,1400
Intel Core i7-4930K,CPU,2013-09-01,1860
AMD Athlon XP-M 2200+,CPU,2002-11-11,63
AMD Opteron 146,CPU,2003-09-09,106
Intel Xeon E5507,CPU,2010-03-16,731
AMD Turion 64 ML-42,CPU,2005-10-04,114
AMD Ryzen 3 1300,CPU,2017-04-11,4800
Intel Core i3-5010U,CPU,2015-03-01,
Intel Celeron G1840,CPU,2014-05-01,1400
Intel Core i7-4860HQ,CPU,2014-02-01,1400
Intel Core i7-8750H,CPU,2018-04-02,
AMD Turion X2 RM-72,CPU,2008-09-01,
AMD Athlon 64 FX-72,CPU,2006-11-30,227
Intel Atom Z670,CPU,2011-04-11,140
AMD Opteron 146,CPU,2005-08-02,106
Intel Core i3-2312M,CPU,2011-03-01,624
AMD Athlon 64 X2 4600+,CPU,2006-05-23,154
Intel Core i7-11700F,CPU,2021-03-16,
AMD Athlon XP 2400+,CPU,2003-09-01,63
Intel Core i7-5600U,CPU,2015-03-01,
Intel Core i3-560,CPU,2010-08-29,382
AMD E2-3000M,CPU,2011-12-20,1178
AMD FX-8370E,CPU,2014-09-02,1200
AMD Athlon XP 2000+,CPU,2002-06-10,37
Intel Celeron E1200,CPU,2008-01-20,105
Intel Core i3-2100,CPU,2011-02-20,504
AMD Ryzen 5 PRO 4650G,CPU,2020-07-21,
Intel Core i9-7920X,CPU,2017-09-10,
AMD Sempron 2400+,CPU,2004-08-01,37
Intel Celeron B730,CPU,2012-07-01,504
AMD C-60,CPU,2011-08-22,
Intel Celeron 2955U,CPU,2013-09-01,1400
Intel Xeon L5618,CPU,2010-03-16,1170
Intel Core i5-5250U,CPU,2015-03-01,
AMD Athlon 64 3200+,CPU,2006-05-23,154
AMD Ryzen Threadripper 2990WX,CPU,2018-08-13,19200
AMD A9-9420 SoC,CPU,2016-05-31,1200
AMD Mobile Athlon 64 3700+,CPU,2005-08-01,106
Intel Pentium 4 HT 521,CPU,2005-06-12,125
AMD Phenom II X4 900e,CPU,2009-06-02,758
AMD A10-7870K,CPU,2015-05-28,1178
Intel Xeon E5-1650 v2,CPU,2013-09-01,1400
AMD Phenom II X4 965 BE (140W),CPU,2009-08-13,758
AMD Ryzen Threadripper 1950,CPU,2017-07-29,9600
AMD Athlon II X4 605e,CPU,2009-10-20,300
Intel Core i5-1035G4,CPU,2019-08-01,
Intel Core i3-1115G4,CPU,2020-09-02,
Intel Xeon Silver 4310,CPU,2021-04-06,
AMD Ryzen 7 3780U,CPU,2019-10-22,4940
AMD Athlon 1400,CPU,2001-06-06,37
AMD Phenom II X4 965 BE (125W),CPU,2009-11-07,758
Intel Core i3-10105F,CPU,2021-03-16,
Intel Pentium 4 HT 662,CPU,2005-11-14,169
Intel Xeon 5050,CPU,2006-05-23,
AMD Sempron X2 2200,CPU,2008-03-01,221
AMD Opteron 246 HE,CPU,2004-02-14,106
AMD Athlon 64 3200+,CPU,2005-04-14,105
AMD Opteron 850 HE,CPU,2005-03-01,106
Intel Xeon Phi 7290F,CPU,2016-06-20,8000
Intel Core i5-8600T,CPU,2018-04-02,
AMD Ryzen 7 4800U,CPU,2020-01-06,9800
AMD Phenom II X2 570 BE,CPU,2010-05-03,758
Intel Xeon Gold 6314U,CPU,2021-04-06,
Intel Atom E620,CPU,2010-09-14,47
AMD Opteron 842,CPU,2004-05-18,106
AMD A8-5545M,CPU,2013-06-01,1178
Intel Core i7-8700T,CPU,2018-04-02,
AMD Athlon 64 2800+,CPU,2004-04-27,69
AMD Athlon 64 3500+,CPU,2005-04-04,69
AMD Athlon 64 X2 5400+,CPU,2006-12-12,154
AMD A6-3500,CPU,2011-08-17,1178
AMD Athlon PRO 300U,CPU,2019-04-08,
Intel Atom E3827,CPU,2013-10-08,
AMD A4-5000,CPU,2013-05-23,1178
AMD Phenom II X4 805,CPU,2009-02-09,758
Intel Core i7-10810U,CPU,2020-04-02,
Intel Core i3-380M,CPU,2010-10-26,382
Intel Celeron P1053,CPU,2010-02-12,
Intel Core i5-10600K,CPU,2020-04-30,
AMD Athlon 300U,CPU,2019-01-06,
AMD Athlon PRO 200GE,CPU,2018-06-01,4800
AMD Opteron 6378,CPU,2012-11-05,2400
AMD Phenom II X4 975 BE,CPU,2011-01-04,758
Intel Core i7-8650U,CPU,2017-08-21,
AMD Opteron 140 EE,CPU,2004-02-14,106
Intel Atom Z540,CPU,2008-04-02,47
Intel Xeon E3-1290,CPU,2011-05-29,1160
AMD EPYC 7502P,CPU,2019-08-07,3800
Intel Xeon E5520,CPU,2009-03-30,731
Intel Pentium 4 519K,CPU,2005-01-01,125
Intel Core 2 Solo ULV U2100,CPU,2007-09-01,291
AMD Opteron 148,CPU,2004-05-18,106
AMD Sempron 3100+,CPU,2005-07-15,69
Intel Xeon MP 2.83,CPU,2005-03-29,
AMD Athlon II X2 245,CPU,2009-07-23,410
AMD Phenom II X4 840,CPU,2011-01-04,300
Intel Xeon 7110N,CPU,2006-08-27,1328
Intel Core i5-2430M,CPU,2011-10-01,624
AMD Opteron X2 275 HE,CPU,2006-02-01,233
AMD Opteron 146,CPU,2005-08-02,106
AMD Opteron 6262 HE,CPU,2011-11-14,2400
AMD Ryzen 9 3900XT,CPU,2020-07-07,3800
Intel Core i7-3520M,CPU,2012-06-03,
Intel Core i3-1000G4,CPU,2019-08-01,
AMD A8-9600,CPU,2017-07-27,1178
Intel Xeon E7-8880 v3,CPU,2015-06-01,1400
AMD Ryzen 5 3500X,CPU,2019-09-24,3800
AMD EPYC 7281,CPU,2017-06-29,4800
Intel Pentium 4 HT 516,CPU,2001-01-01,125
AMD Opteron 144,CPU,2004-05-18,106
AMD Opteron X2 260 HE,CPU,2005-08-01,233
AMD Phenom X4 9150e,CPU,2008-07-01,450
Intel Xeon E5-2450 v2,CPU,2013-09-01,1400
Intel Pentium III 1133,CPU,2001-06-01,44
Intel Xeon Platinum 8362,CPU,2021-04-06,
AMD Athlon 64 3800+ (F3),CPU,2007-02-20,154
Intel Core i3-7340,CPU,2017-07-17,
AMD EPYC 7F72,CPU,2020-04-14,3800
AMD Athlon X4 950,CPU,2017-07-27,1178
AMD Ryzen 7 PRO 1700,CPU,2017-06-29,4800
AMD A4-5145M,CPU,2013-06-01,1178
Intel Pentium E6600,CPU,2010-01-17,228
AMD Athlon 64 LE-1620,CPU,2007-10-08,154
AMD FX-4120,CPU,2012-10-23,1200
Intel Celeron 2950M,CPU,2013-09-01,1400
AMD Athlon XP 1800+,CPU,2001-01-01,37
Intel Core i7-4980HQ,CPU,2013-09-01,1400
Intel Core i7-6950X,CPU,2016-05-31,3800
Intel Core 2 Quad Q8300,CPU,2008-11-30,456
Intel Pentium E6500K,CPU,2009-08-09,228
Intel Mobile Pentium 4 HT 532,CPU,2004-06-01,125
Intel Core 2 Duo E8300,CPU,2008-04-01,410
AMD Athlon XP 2600+,CPU,2002-08-21,37
Intel Core i9-9900KF,CPU,2019-01-08,
Intel Pentium Gold G6505T,CPU,2021-03-16,
AMD Phenom II X4 B97,CPU,2010-05-11,758
AMD Athlon XP 2800+,CPU,2001-01-01,63
Intel Celeron G3930T,CPU,2017-01-03,
Intel Core i7-9700,CPU,2019-04-23,
AMD Athlon 64 3400+,CPU,2001-01-01,105
Intel Atom E3845,CPU,2013-10-08,
AMD Phenom II X4 850,CPU,2011-06-01,300
AMD Opteron 248,CPU,2003-11-17,106
AMD A10-7850K,CPU,2014-01-14,1178
AMD EPYC 7452,CPU,2019-08-07,3800
Intel Core i7-950,CPU,2009-06-02,731
Intel Core i3-370M,CPU,2010-06-20,382
Intel Celeron D 335,CPU,2004-06-24,125
AMD Ryzen 9 5900X,CPU,2020-11-05,
Intel Core i3-3220T,CPU,2012-09-03,
AMD Phenom II X2 555 BE,CPU,2010-01-25,758
AMD Opteron 242,CPU,2004-12-01,106
Intel Pentium M 740,CPU,2005-01-19,140
Intel Core i7-6700K,CPU,2015-08-01,
AMD Athlon X2 7550,CPU,2008-12-15,450
Intel Core i5-8300H,CPU,2018-04-02,
Intel Core i9-8950HK,CPU,2018-04-02,
Intel Xeon E7-8880L v3,CPU,2015-06-01,1400
Intel Xeon E3-1285 v4,CPU,2015-06-02,1400
AMD A4-3400,CPU,2011-09-07,1178
Intel Atom E3826,CPU,2013-10-08,
AMD Ryzen 9 3950X,CPU,2019-11-14,3800
Intel Xeon MP 3.16,CPU,2005-03-29,
AMD FX-4170,CPU,2012-02-27,1200
AMD Mobile Athlon 64 2800+,CPU,2004-08-01,106
AMD Ryzen 5 2600,CPU,2018-04-19,4800
Intel Xeon E5-2692 v2,CPU,2013-09-01,1400
Intel Core i7-3930K,CPU,2011-11-14,2270
Intel Celeron 2.0,CPU,2002-09-18,55
Intel Core 2 Quad Q9300,CPU,2008-03-10,456
Intel Pentium G6950,CPU,2010-01-07,382
Intel Mobile Pentium 4 HT 2.66,CPU,2003-09-23,55
Intel Core i7-3630QM,CPU,2012-09-01,1480
Intel Core i7-2700K,CPU,2011-10-24,1160
AMD Opteron 850,CPU,2004-05-18,106
AMD Ryzen 5 4600HS,CPU,2020-01-06,9800
AMD Sempron 3100+,CPU,2005-07-15,69
Intel Core i7-9700F,CPU,2019-04-23,
Intel Pentium D 965 EE,CPU,2006-03-26,376
AMD Athlon 64 3000+,CPU,2001-01-01,69
Intel Core 2 Duo T7600,CPU,2006-07-27,293
Intel Core i3-4102E,CPU,2013-09-04,1400
AMD Opteron 246 HE,CPU,2005-03-01,106
AMD Phenom X3 8450e,CPU,2008-09-08,450
Intel Pentium G860T,CPU,2012-06-03,504
AMD Ryzen 7 2700U,CPU,2017-10-26,
Intel Pentium 4 HT 3.4E,CPU,2004-04-01,125
Intel Core i3-9100F,CPU,2019-04-23,
AMD Phenom II X4 810,CPU,2009-02-09,758
Intel Core i3-6300,CPU,2015-09-01,1400
Intel Xeon E7-8867 v3,CPU,2015-06-01,1400
Intel Pentium E5800,CPU,2010-11-28,228
Intel Xeon W3530,CPU,2010-03-16,731
Intel Pentium Gold G5620,CPU,2019-02-20,
AMD Opteron 846 HE,CPU,2004-05-18,106
AMD Phenom X3 8750 BE,CPU,2008-09-08,450
AMD A6-3620,CPU,2011-12-20,1178
AMD A6-5345M,CPU,2013-06-01,1178
AMD A10-7700K,CPU,2014-01-14,1178
AMD EPYC 7313P,CPU,2021-03-15,
Intel Core i7-1165G7,CPU,2020-09-02,
AMD E-450,CPU,2011-08-22,
AMD Athlon 64 X2 3600+ EE,CPU,2006-08-01,154
AMD Ryzen 5 3500U,CPU,2019-01-06,4940
Intel Pentium 4 1.6,CPU,2001-08-27,42
Intel Pentium G3250T,CPU,2014-07-21,1400
Intel Core i3-4340,CPU,2013-09-01,1400
Intel Pentium 4 HT 3.0E,CPU,2004-02-01,125
Intel Core i3-2125,CPU,2011-09-04,504
Intel Pentium M 1.60,CPU,2003-03-12,77
Intel Pentium 4 HT 541,CPU,2005-06-12,125
AMD Mobile Athlon 64 3200+,CPU,2004-08-01,106
Intel Pentium D 925,CPU,2006-10-01,376
AMD Athlon II X4 600e,CPU,2009-10-20,300
Intel Core i7-4650U,CPU,2013-06-04,1300
Intel Core i5-3360M,CPU,2012-06-01,
AMD Opteron 844,CPU,2004-12-01,106
AMD Opteron X2 870 HE,CPU,2005-12-01,233
AMD Athlon 64 LE-1640,CPU,2008-04-01,122
AMD Sempron 2400+,CPU,2004-07-28,37
AMD Turion 64 ML-37,CPU,2005-03-10,114
Intel Pentium III 1133S,CPU,2001-06-01,44
AMD Opteron X2 285,CPU,2006-03-06,233
Intel Core 2 Duo T7250,CPU,2007-09-27,293
Intel Core i3-4005U,CPU,2013-09-04,1400
Intel Pentium 4 1.4,CPU,2000-11-20,42
Intel Atom N270,CPU,2008-06-03,47
Intel Core i9-10900X,CPU,2019-10-19,
AMD A8-5550M,CPU,2013-06-01,1178
Intel Core i5-8265U,CPU,2018-10-01,
Intel Core i7-10875H,CPU,2020-04-02,
AMD Athlon 64 X2 4000+ EE,CPU,2006-05-23,154
Intel Xeon Platinum 8360HL,CPU,2021-04-06,
AMD A6-9220C SoC,CPU,2019-01-07,1200
Intel Pentium M 1.50,CPU,2003-03-12,77
Intel Xeon Phi 7120P,CPU,2013-06-17,5000
AMD Sempron 2800+,CPU,2001-01-01,69
Intel Pentium Dual-Core T4200,CPU,2009-01-01,410
Intel Core 2 Duo E6300,CPU,2006-07-27,291
AMD Athlon 64 X2 4000+,CPU,2006-12-05,154
Intel Core i7-8559U,CPU,2018-04-05,
AMD Athlon XP-M 2600+,CPU,2001-01-01,63
Intel Core i3-7300T,CPU,2017-01-03,
Intel Pentium D 935,CPU,2007-01-01,376
AMD Athlon XP 2100+,CPU,2002-03-13,37
Intel Pentium G645T,CPU,2012-09-02,504
Intel Core Duo T2050,CPU,2005-05-01,151
AMD Athlon 64 3200+,CPU,2003-09-23,105
Intel Pentium G3220,CPU,2013-09-01,1400
Intel Pentium 4 HT 516,CPU,2001-01-01,125
Intel Core i5-9400T,CPU,2018-09-01,
Intel Core i5-6350HQ,CPU,2016-01-24,
Intel Xeon Platinum 8358P,CPU,2021-04-06,
Intel Xeon W3540,CPU,2009-03-30,731
Intel Core 2 Duo E6400,CPU,2006-07-27,291
Intel Core i9-11900F,CPU,2021-03-16,
Intel Pentium Dual-Core T4400,CPU,2009-12-01,410
Intel Xeon MP 2.83,CPU,2005-03-29,286
AMD A6-3430MX,CPU,2011-12-20,1178
AMD Athlon XP 2000+,CPU,2002-01-07,37
Intel Core i7-965,CPU,2008-11-17,731
Intel Core i5-6500,CPU,2015-07-02,
Intel Core M-5Y31,CPU,2014-10-27,
Intel Xeon X5647,CPU,2011-02-14,1170
Intel Xeon Platinum 8280M,CPU,2018-12-11,8000
Intel Core i3-9350KF,CPU,2019-01-08,
Intel Core i7-2960XM,CPU,2011-09-04,1160
Intel Core 2 Duo E8500,CPU,2008-01-01,410
AMD Sempron X2 2100,CPU,2008-03-01,221
AMD FX-4350,CPU,2013-04-29,1200
Intel Core i7-11700KF,CPU,2021-03-16,
Intel Core i5-3210M,CPU,2012-06-01,
AMD Ryzen 5 3600XT,CPU,2019-07-07,3800
Intel Pentium Dual-Core E2140,CPU,2007-06-03,105
AMD EPYC 7261,CPU,2018-06-14,4800
AMD Athlon XP-M 2500+,CPU,2001-01-01,63
AMD A6-5200,CPU,2013-05-23,1178
Intel Core i5-8305G,CPU,2018-02-01,
AMD A6-3670K,CPU,2011-12-20,1178
AMD A9-9425 SoC,CPU,2016-05-31,1200
Intel Xeon 5130,CPU,2006-06-26,
Intel Core i7-4770HQ,CPU,2014-07-01,1400
Intel Atom CE4130,CPU,2009-09-24,47
AMD Athlon 850,CPU,2000-06-05,37
AMD A12-9800,CPU,2017-07-27,1178
Intel Xeon Gold 5320,CPU,2021-04-06,
AMD Ryzen 3 2300U,CPU,2018-01-08,
AMD FX-4150,CPU,2012-10-23,1200
AMD A4-4355M,CPU,2012-09-27,1303
AMD Ryzen 3 4300G,CPU,2020-07-21,
Intel Core i5-3320M,CPU,2012-06-01,
Intel Core i7-940,CPU,2008-11-17,731
AMD A4-5300,CPU,2012-10-02,1178
AMD A9-9400 SoC,CPU,2016-05-31,1200
AMD Ryzen 7 4700G,CPU,2020-07-21,
AMD Sempron 3000+,CPU,2004-09-17,63
Intel Core i7-3667U,CPU,2012-06-03,
